im,output,flag,username,timestamp
"{""path"":""flagged/im/40e50bcc000c157f4d09/webcam.png"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/9476e4e67f4e9c5686aa4f58b5ab399cd7007b37/webcam.png"",""size"":1634692,""orig_name"":""webcam.png"",""mime_type"":""""}","{""path"":""flagged/output/ff48236d6844f3d7a632/image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",,,2024-01-16 14:40:19.636782
"{""path"":""flagged/image/8fcd4fe3c8161dcba95d/webcam.png"",""url"":""http://127.0.0.1:7860/file=/tmp/gradio/ce8e045d2c478e1cf40737e64b6e494c01211b78/webcam.png"",""size"":1580821,""orig_name"":""webcam.png"",""mime_type"":""""}","{""path"":""flagged/output/2ce94442cca6ecf3c017/image.png"",""url"":null,""size"":null,""orig_name"":""image.png"",""mime_type"":null}",,,2024-01-16 16:10:20.848914
